Ticker,Daily Return_mean,Daily Return_std,Cumulative Return_mean,30 Day MA_mean,30 Day STD_mean,30 Day EMA_mean,RSI_mean,Bollinger High_mean,Bollinger Low_mean,Volume_mean,Principal Component 1,Principal Component 2
AMAT,0.0017380280470511544,0.020211465077501167,0.40809210273069396,131.59297069244616,5.102679966033672,131.54863318056684,54.192593294974934,141.79833062451348,121.38761076037882,5882247.963800905,0.6271380206115194,2.3972658446265758
AMCR,-0.00046446161568285637,0.013397761424594966,-0.14534512107042447,9.548349253192747,0.22921094210163695,9.556307468316204,47.4128051369988,10.006771137396019,9.089927368989471,7791638.009049774,-2.890808894729702,-0.8739413442158911
AME,0.0006491200338979948,0.011235661221180507,0.07099451067269559,148.09690988808197,3.3526546449298906,148.1898446060972,53.12545732239324,154.80221917794174,141.39160059822217,967372.3981900453,0.10713231527864561,0.5410415109500156
AMGN,0.0009983580542070882,0.013249329308895389,-0.028733706227734777,239.78671727475358,6.99834211552995,239.98139907531814,52.822295039081595,253.7834015058135,225.79003304369365,2453870.588235294,1.3419512358265822,-0.115752245820929
AMP,0.0004911254378111619,0.016208184658288417,0.06918921429575954,322.5151258511781,10.985265525384555,322.55517913547425,54.17310369099873,344.48565690194715,300.54459480040896,531134.3891402715,2.7328172611774537,-0.5366942294323311
AMT,0.00026516386632807726,0.016957221408198234,-0.09978692256704733,185.4458300284131,6.818355939906264,185.69341166087946,49.78185665508212,199.08254190822564,171.80911814860056,2150366.515837104,0.23111487223333815,-1.0919848728295254
ANET,0.002907959366777796,0.029328615038618118,0.4601279199381413,169.7770632333885,9.205998842746636,170.00741888583042,57.73448793812093,188.18906091888178,151.36506554789523,2656348.4162895926,2.0643115309129576,3.3245579464836545
ANSS,0.0014975603590270498,0.020732926850960398,0.2933578768595417,305.43663504990343,11.67471716600754,305.2828909468932,51.51353624296768,328.7860693819185,282.0872007178883,533864.2533936652,2.9543347200940375,0.3600378655858465
AON,-0.0003437726019440847,0.01259957020532726,0.08037380619935336,320.11958172137923,8.109833368428419,319.76485193376897,50.965512519168385,336.33924845823606,303.89991498452235,856504.5248868779,2.0775636207543493,-1.3659952427434436
AOS,0.0010295073214904938,0.01417381357738652,0.2095676944973603,68.37332504237939,2.0973743262701596,68.40841575849129,54.46819398996418,72.5680736949197,64.17857638983907,997056.1085972851,-0.5661347443711536,1.7642239196497225
APA,-0.0004059452173649034,0.023541978803616723,-0.11961382860826048,37.33308017552349,1.9423697592917877,37.29095263106251,47.91445489925429,41.21781969410706,33.44834065693991,4866033.936651584,-2.2837561846498167,-1.103797984054223
APD,2.204689316893228e-05,0.015160802125464834,-0.0641703586362615,279.4117243656026,7.711018479804503,279.3590104858776,50.68764094747697,294.8337613252116,263.9896874059936,944158.371040724,1.4685459326125658,-1.4533489657637806
APH,0.0010209979463789158,0.011665100361564283,0.09469511106534573,81.5218888123111,2.084391246931725,81.60681223562726,55.44075198329628,85.69067130617455,77.35310631844764,2596803.619909502,-0.5476803708899155,1.5808950217615552
APTV,-0.0008156564119595976,0.020933701510777582,0.06224972468465981,100.34496090343815,4.562011975835539,100.16763558344576,47.387965901015605,109.46898485510923,91.22093695176707,2071914.0271493213,-1.1685530528294454,-1.2848782602464535
ARE,-0.0008009780877640632,0.022446700623859825,-0.1683468743983443,115.63381159395473,5.634956673134679,115.72199835969823,46.264541753361264,126.9037249402241,104.36389824768538,1149687.3303167422,-1.2305828123428668,-2.2943926632861795
