Ticker,Daily Return_mean,Daily Return_std,Cumulative Return_mean,30 Day MA_mean,30 Day STD_mean,30 Day EMA_mean,RSI_mean,Bollinger High_mean,Bollinger Low_mean,Volume_mean,Principal Component 1,Principal Component 2,Cluster,Cluster_som,Cluster_kmeans,Cluster_dbscan,Cluster_agglomerative,Cluster_gmm,Cluster_hierarchical,Cluster_spectral
MSCI,0.0002329607310302,0.0175558037800396,0.1220250189846593,508.0519464138946,17.235122118403943,507.6166408511526,51.01378418831156,542.5221906507024,473.5817021770867,425605.4298642534,5.159416609188162,-2.0976863820379936,2,20.0,1,0,1,1,2,1
MSFT,0.0016267502551342,0.0148215616528081,0.355429126083147,312.63605825156645,10.07176455480086,312.74574058186454,56.84893960771794,332.77958736116824,292.4925291419648,26749204.977375567,2.46626742370017,2.14002619887147,4,21.0,1,-1,0,4,4,0
MSI,0.0007660906312885,0.0114347325186267,0.1253844968181772,281.2914044893705,6.80244171253207,281.5129498380348,55.1832869874353,294.89628791443465,267.6865210643064,728013.5746606335,2.1463293068031613,0.3735162558826265,2,15.0,1,0,0,2,3,1
MTB,-0.0003137135790778,0.0221428645635629,-0.1024087041966911,124.82448213902354,5.694904591102732,124.89751616035056,49.47833369103084,136.214291321229,113.43467295681808,1343038.4615384615,-0.7169816698416094,-1.3192017612092333,2,19.0,0,0,0,2,6,0
MTCH,-0.0006621069526362,0.0262967353058015,-0.0628189282503659,39.44884011396635,2.483123126214017,39.35673259507158,45.88421645765667,44.41508636639439,34.48259386153832,4939708.597285068,-2.350371495789487,-1.484385363022067,0,1.0,0,0,0,0,7,0
MU,0.0018618698387049,0.0222957455439164,0.3343827827321081,65.3144782692059,2.6303108179650843,65.28870069808845,53.91897130706649,70.57509990513608,60.05385663327574,15344821.719457014,-0.7354716293811753,2.7601832672231787,1,5.0,0,0,0,4,4,0
NCLH,0.0012285035829985,0.0305250703302218,0.3760768959544052,16.10696380825244,1.2772086762331596,16.118587034454748,51.992998363062576,18.66138116071876,13.55254645578612,14329277.37556561,-1.628143381623511,2.2783044417687104,1,5.0,0,0,0,4,5,0
NDAQ,8.033342451423077e-05,0.0151851849094665,-0.1371388724860007,52.45176922206965,1.483519716275285,52.51365137696406,50.692450188100615,55.41880865462022,49.48472978951908,2784414.027149321,-1.7729380214393264,-0.366085416038278,2,22.0,0,0,0,0,7,0
NDSN,0.0005278331309557,0.015228105888266,-0.0296669544071202,226.46226131617573,6.6722067672303496,226.69147264820697,52.49847823560075,239.80667485063643,213.11784778171503,225069.6832579185,1.089420321017573,-0.4857038514806602,2,8.0,0,0,0,2,3,0
NEE,-0.0007113350675023,0.0174995763874666,-0.1737530445304574,67.73998956809756,2.3425857720353767,67.84418809379332,48.63882309310548,72.42516111216831,63.05481802402681,10209813.574660633,-2.17324302499399,-1.2828561049607865,3,18.0,0,0,0,4,5,0
NEM,-0.0003181395650698,0.0201228500134444,-0.1332498125999554,41.53061645473291,1.8938205216016804,41.54832081762123,47.80372811987842,45.318257497936266,37.74297541152954,10188326.69683258,-2.414509907276165,-0.9472882904622972,3,18.0,0,0,0,4,5,0
NFLX,0.0016494976236765,0.0233319820912873,0.3440780491334881,388.2627236989109,20.391721686254765,388.1195772189422,53.33585999266046,429.0461670714205,347.4792803264014,6017923.529411765,4.597245264375959,0.3149984694546521,0,20.0,1,0,1,1,2,1
NI,0.0001154064756572,0.0133492127156498,0.0021832466394365,25.987718853727547,0.5550329386653031,25.9978053841925,50.65426276762448,27.097784731058148,24.87765297639694,4578733.031674208,-2.029211051962007,0.2922827600504446,0,6.0,0,0,0,0,7,0
NKE,-0.0004301751032445,0.0175002369581425,-0.0614900304612412,110.26350268540878,3.765395589269987,110.32645428110166,49.1156040119067,117.79429386394877,102.7327115068688,7813970.588235294,-1.2474427428796504,-0.9784981594025436,3,9.0,0,0,0,4,5,0
NOC,0.0001986484451815,0.0133999203355244,-0.150647975404243,446.3242023312668,10.594862362804154,447.3534614895673,50.87427197005986,467.5139270568752,425.1344776056585,765080.0904977375,3.5873614477458147,-2.396651674518097,2,20.0,1,0,1,1,2,1
NOW,0.0021080747433823,0.0187086960448014,0.4211683722136926,531.6690562390634,22.43201297304822,531.9286025541073,56.97316408848561,576.5330821851599,486.8050302929669,1297568.778280543,7.030263408401263,0.6658811242838164,2,20.0,1,0,1,1,2,1
NRG,0.0019842891217643,0.0175037039570573,0.2286668345789325,36.07034073997946,1.2697111655930222,36.10603988741978,57.6130557935218,38.6097630711655,33.53091840879342,4051629.411764706,-0.6466515924234021,3.105196165659318,0,6.0,0,0,0,0,7,0
NSC,0.0001185211104254,0.0136289373531911,-0.1269031567835767,209.2614886806022,7.277885122498549,209.57945921030296,50.36870111317496,223.8172589255993,194.7057184356051,1362133.031674208,0.5414219902437518,-1.259915995073945,2,8.0,0,0,0,2,3,0
NTAP,0.0014337501278798,0.0172654597792597,0.2341708917920026,70.55644699948226,2.307604102875423,70.6408749084465,54.50216939593514,75.17165520523311,65.94123879373142,2044359.7285067872,-0.4288762477296519,2.057251670961336,2,10.0,0,0,0,0,7,0
NTRS,-0.0003446902373157,0.0206642169214087,-0.1209199181310316,76.03368003465471,3.2267099579914245,76.1047466351565,49.40880640051483,82.48709995063756,69.58026011867186,1341371.4932126696,-1.50192478350413,-1.0801916797170834,2,10.0,0,0,0,2,7,0
NUE,0.0004126660577733,0.019164099677162,0.2066622554042103,155.0936588707373,6.155119547470442,154.93341486556193,52.07280920752552,167.4038979656782,142.7834197757964,1499209.0497737557,0.4032197346050278,0.387640756240115,2,2.0,0,0,0,2,6,0
NWS,0.0015393741274165,0.0159408804086783,0.0924393840035205,19.631538632192942,0.7110611781956918,19.63466468513574,54.76281253386906,21.05366098858433,18.20941627580156,983016.28959276,-1.2317152286607136,2.020755375177389,2,22.0,0,0,0,0,7,0
NWSA,0.001368178951344,0.0159737672098371,0.0788740160946292,19.2313992642709,0.6966147550878105,19.232372105119676,54.1135842324104,20.624628774446524,17.838169754095283,2661282.805429864,-1.397506679723934,1.806895508647358,2,22.0,0,0,0,0,7,0
NXPI,0.0011847318747383,0.0197188987798998,0.2596371018099607,187.62067865570205,7.779027715029011,187.68666233115468,53.49071064851319,203.17873408576008,172.06262322564402,2125742.081447964,1.2384478033512374,1.0707404896131858,2,2.0,0,0,0,5,3,0
O,-0.0004058453417363,0.0125986202375902,-0.0685433558879899,55.7830847848055,1.4344536873460043,55.80437299968749,46.32671274732795,58.65199215949751,52.914177410113496,5162761.990950226,-2.1274853027579117,-1.0624928680712251,0,1.0,0,0,0,0,7,0
ODFL,0.0008127633242902,0.0192549745498553,0.3167570171272464,182.25005755302237,7.007438954294482,181.93054368256497,52.05392128605755,196.2649354616113,168.23517964443337,1495689.592760181,1.022624894972528,0.824468238178044,2,2.0,0,0,0,2,3,0
OKE,0.0003390712511107,0.0154655392368843,0.0484741577933839,61.42978228170588,1.894460210486184,61.40883362100996,52.54936302995612,65.21870270267824,57.6408618607335,3670161.08597285,-1.2571773466863008,0.6081218881877837,0,14.0,0,0,0,0,7,0
OMC,-6.542860232744545e-05,0.0149729058968687,0.0511358909253848,83.4200501443394,2.605871164318274,83.46120076614065,50.289709928258695,88.63179247297595,78.20830781570285,1631226.696832579,-1.1196620757478593,-0.1517475931595572,2,10.0,0,0,0,0,7,0
ON,0.000387670661234,0.0289281819079295,0.3829151372237743,84.90815505118391,4.802213647144104,84.82215667510401,51.619086805027536,94.51258234547213,75.30372775689571,6555523.981900453,-0.5279018705562697,1.1326919561592057,0,23.0,0,0,0,5,5,0
ORCL,0.0009967054258836,0.019685430760488,0.2817171469598377,103.60317393284215,3.8837938559509126,103.52037254643125,54.94826081297682,111.370761644744,95.83558622094036,9480595.475113122,-0.2182095421750107,1.9042623935220209,3,9.0,0,0,0,4,5,0
ORLY,0.0005810734789285,0.0122267411917907,0.0938858967131299,909.593750579972,21.54537209602893,910.146087490383,54.72427892085794,952.68449477203,866.5030063879142,408363.3484162896,10.443264928711772,-3.259970640629694,2,16.0,1,-1,1,3,1,1
OTIS,0.0004044392448966,0.0117789053061805,0.0727229717721221,82.45609308418285,1.971833513529702,82.50718208327852,52.38032788611665,86.39976011124226,78.51242605712345,1889857.0135746603,-0.9004290902055668,0.6259172205230175,2,10.0,0,0,0,0,7,0
OXY,-0.0001713442742218,0.01691108334533,0.007787666319722,60.87262884401808,1.772386770537352,60.79950137703487,48.45149224319669,64.41740238509279,57.32785530294338,10954555.20361991,-1.965904629515484,-0.3378020425074504,3,18.0,0,0,0,4,5,0
PANW,0.0028960036135246,0.0248189779594212,0.6608923621224521,220.6645532760505,11.875191591225493,221.04859386084297,57.14956493779116,244.4149364585015,196.91417009359952,4612652.94117647,3.009157378172201,3.639185601192667,0,8.0,0,0,0,5,3,0
PAYX,0.0003393703849814,0.0138016020580949,0.0139659259612012,111.58636070815326,2.8309004067554677,111.68106896357068,52.02951871615948,117.2481615216642,105.92455989464231,1974645.7013574664,-0.6164309497633436,0.1587424790793907,2,13.0,0,0,0,2,6,0
PCAR,0.0016063124536216,0.0138063468037747,0.2539150028042878,76.42240047483602,2.207503139447883,76.47327035411186,57.400583534194105,80.8374067537318,72.00739419594026,2533152.9411764704,-0.1283411337894061,2.722770839541188,2,3.0,0,0,0,0,7,0
PCG,0.0007271675128187,0.0132014434744885,0.0732812522713676,16.680593968588482,0.4181372036225279,16.689074029724278,52.48310794470211,17.51686837583354,15.844319561343426,17028513.574660633,-2.214320561524903,1.5034023395224108,1,5.0,0,0,0,4,4,0
PEG,0.0002325748014219,0.0122199667065523,0.0096126679447287,59.58721384189428,1.3804328989195374,59.60713558129881,51.28256736917906,62.34807963973335,56.8263480440552,2641116.28959276,-1.4285358069104777,0.2863640853437092,2,10.0,0,0,0,0,7,0
PEP,-3.4784004726908024e-05,0.0093375307559246,0.0044555408221509,173.81473798794983,3.4919454609542617,173.93309930640058,52.31996774126201,180.7986289098584,166.83084706604131,4899945.701357466,-0.0279237662659357,-0.2303348822519995,0,0.0,0,0,0,5,6,0
PFE,-0.0016540371767946,0.014374868865063,-0.2865774615316146,34.878901820233146,1.0088560528331787,34.91752424831155,40.930208380102776,36.8966139258995,32.861189714566784,28665891.85520362,-4.149186317162994,-2.774894628972663,4,21.0,0,0,0,4,4,0
PFG,-0.0004476264352558,0.0171410304128214,-0.087827239308849,73.76415073515602,2.877853445505925,73.76850915130476,50.84158065007588,79.51985762616789,68.00844384414418,1380083.257918552,-1.4458641602996696,-0.7422009465853927,2,10.0,0,0,0,2,7,0
PG,0.0003315651690914,0.009193694610759,-9.349650422632972e-05,145.46478043638203,3.030220987773233,145.51890409761648,52.37111173402819,151.5252224119285,139.40433846083556,6172913.122171946,-0.3409238093109211,0.175234312196642,0,0.0,0,0,0,5,6,0
PGR,0.0007907580980634,0.0192814619897358,0.0846718356862268,138.38912038673644,4.215365325424298,138.38769604624989,54.18641075887118,146.819851037585,129.9583897358878,2653592.3076923075,0.1024039205710645,0.7491734887952405,2,7.0,0,0,0,2,6,0
PH,0.0014206847739212,0.0173158031034496,0.3111718585184123,366.364604893565,13.59768876342548,366.4786774860808,56.841586883872296,393.559982420416,339.16922736671404,757041.628959276,4.138438624193456,0.910680031037711,2,17.0,1,0,1,1,2,1
